tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
góo-lîng-lân,五龍蘭,16,gó͘-lêng-lân,goo2ling5lan5,goo2leng5lan5,goolinglan,goolenglan,gll,gll
tsínn-pinn-tsháu,井邊草,16,chíⁿ-piⁿ-chháu,tsinn2pinn1tshau2,chinn2pinn1chhau2,tsinnpinntshau,chinnpinnchhau,tpt,cpc
jîn-biān-tik,人面竹,16,jîn-biān-tek,jin5bian7tik1,jin5bian7tek1,jinbiantik,jinbiantek,jbt,jbt
jîn-tshì-tshang,仁刺葱,16,jîn-chhì-chhang,jin5tshi3tshang1,jin5chhi3chhang1,jintshitshang,jinchhichhang,jtt,jcc
sian-pa-tsiúnn,仙巴掌,16,sian-pa-chiúⁿ,sian1pa1tsiunn2,sian1pa1chiunn2,sianpatsiunn,sianpachiunn,spt,spc
hô-siú-oo,何首烏,16,hô-siú-o͘,ho5siu2oo1,ho5siu2oo1,hosiuoo,hosiuoo,hso,hso
hu̍t-thâu-kó,佛頭果,16,hu̍t-thâu-kó,hut8thau5ko2,hut8thau5ko2,hutthauko,hutthauko,htk,htk
sù-kun-tsú,使君子,16,sù-kun-chú,su3kun1tsu2,su3kun1chu2,sukuntsu,sukunchu,skt,skc
tó-tuē-kióng,倒地拱,16,tó-tōe-kióng,to2tue7kiong2,to2toe7kiong2,totuekiong,totoekiong,ttk,ttk
tó-tuē-lîng,倒地柃,16,tó-tōe-lêng,to2tue7ling5,to2toe7leng5,totueling,totoeleng,ttl,ttl
tó-kî-lîn,倒麒麟,16,tó-kî-lîn,to2ki5lin5,to2ki5lin5,tokilin,tokilin,tkl,tkl
siong-si̍t-tsháu,傷食草,16,siong-si̍t-chháu,siong1sit8tshau2,siong1sit8chhau2,siongsittshau,siongsitchhau,sst,ssc
guân-siau-kam,元宵柑,16,goân-siau-kam,guan5siau1kam1,goan5siau1kam1,guansiaukam,goansiaukam,gsk,gsk
thòo-á-tshài,兔仔草,16,thò͘-á-chhài,thoo3a2tshai3,thoo3a2chhai3,thooatshai,thooachhai,tat,tac
thòo-hī-tsháu,兔耳草,16,thò͘-hī-chháu,thoo3hi7tshau2,thoo3hi7chhau2,thoohitshau,thoohichhau,tht,thc
lāi-tang-tsí,內冬子,16,lāi-tang-chí,lai7tang1tsi2,lai7tang1chi2,laitangtsi,laitangchi,ltt,ltc
pat-kuà-tsháu,八卦草,16,pat-kòa-chháu,pat1kua3tshau2,pat1koa3chhau2,patkuatshau,patkoachhau,pkt,pkc
pueh-kak-á,八角仔,16,poeh-kak-á,pueh1kak1a2,poeh1kak1a2,puehkaka,poehkaka,pka,pka
pueh-kak-liân,八角蓮,16,poeh-kak-liân,pueh1kak1lian5,poeh1kak1lian5,puehkaklian,poehkaklian,pkl,pkl
kong-sun-kiat,公孫橘,16,kong-sun-kiat,kong1sun1kiat1,kong1sun1kiat1,kongsunkiat,kongsunkiat,ksk,ksk
la̍k-ge̍h-seh,六月雪,16,la̍k-ge̍h-seh,lak8geh8seh1,lak8geh8seh1,lakgehseh,lakgehseh,lgs,lgs
la̍k-liàm-á,六棯仔,16,la̍k-liàm-á,lak8liam3a2,lak8liam3a2,lakliama,lakliama,lla,lla
la̍k-kiám-á,六檢仔,16,la̍k-kiám-á,lak8kiam2a2,lak8kiam2a2,lakkiama,lakkiama,lka,lka
la̍k-kak-ing,六角英,16,la̍k-kak-eng,lak8kak1ing1,lak8kak1eng1,lakkaking,lakkakeng,lki,lke
la̍k-kak-tsháu,六角草,16,la̍k-kak-chháu,lak8kak1tshau2,lak8kak1chhau2,lakkaktshau,lakkakchhau,lkt,lkc
tsài-sing-kiat,再生橘,16,chài-seng-kiat,tsai3sing1kiat1,chai3seng1kiat1,tsaisingkiat,chaisengkiat,tsk,csk
líng-pn̄g-tîn,冷飯藤,16,léng-pn̄g-tîn,ling2png7tin5,leng2png7tin5,lingpngtin,lengpngtin,lpt,lpt
tshìn-pn̄g-tîn,凊飯藤,16,chhìn-pn̄g-tîn,tshin3png7tin5,chhin3png7tin5,tshinpngtin,chhinpngtin,tpt,cpt
tshut-sing-láu,出生老,16,chhut-seng-láu,tshut1sing1lau2,chhut1seng1lau2,tshutsinglau,chhutsenglau,tsl,csl
to-siong-tsháu,刀傷草,16,to-siong-chháu,to1siong1tshau2,to1siong1chhau2,tosiongtshau,tosiongchhau,tst,tsc
tò-kè-tsháu,到繼草,16,tò-kè-chháu,to3ke3tshau2,to3ke3chhau2,toketshau,tokechhau,tkt,tkc
tshì-tōo-bi̍t,刺杜蜜,16,chhì-tō͘-bi̍t,tshi3too7bit8,chhi3too7bit8,tshitoobit,chhitoobit,ttb,ctb
tshì-kam-á,刺柑仔,16,chhì-kam-á,tshi3kam1a2,chhi3kam1a2,tshikama,chhikama,tka,cka
tshì-keh-á,刺格仔,16,chhì-keh-á,tshi3keh1a2,chhi3keh1a2,tshikeha,chhikeha,tka,cka
tshì-kiû-hue,刺毬花,16,chhì-kiû-hoe,tshi3kiu5hue1,chhi3kiu5hoe1,tshikiuhue,chhikiuhoe,tkh,ckh
tshì-tshang-tshiū,刺葱樹,16,chhì-chhang-chhiū,tshi3tshang1tshiu7,chhi3chhang1chhiu7,tshitshangtshiu,chhichhangchhiu,ttt,ccc
tsián-jiông-hue,剪絨花,16,chián-jiông-hoe,tsian2jiong5hue1,chian2jiong5hoe1,tsianjionghue,chianjionghoe,tjh,cjh
ka-ji̍p-kū,加入舅,16,ka-ji̍p-kū,ka1jip8ku7,ka1jip8ku7,kajipku,kajipku,kjk,kjk
ka-po̍h-mî,加薄棉,16,ka-po̍h-mî,ka1poh8mi5,ka1poh8mi5,kapohmi,kapohmi,kpm,kpm
sip-lí-hiong,十里香,16,sip-lí-hiong,sip1li2hiong1,sip1li2hiong1,siplihiong,siplihiong,slh,slh
tshian-kun-puih,千斤拔,16,chhian-kun-puih,tshian1kun1puih1,chhian1kun1puih1,tshiankunpuih,chhiankunpuih,tkp,ckp
tshian-lí-kong,千里光,16,chhian-lí-kong,tshian1li2kong1,chhian1li2kong1,tshianlikong,chhianlikong,tlk,clk
gōo-sî-tsháu,午時草,16,gō͘-sî-chháu,goo7si5tshau2,goo7si5chhau2,goositshau,goosichhau,gst,gsc
lâm-hong-tsháu,南風草,16,lâm-hong-chháu,lam5hong1tshau2,lam5hong1chhau2,lamhongtshau,lamhongchhau,lht,lhc
kāu-khak-á,厚殼仔,16,kāu-khak-á,kau7khak1a2,kau7khak1a2,kaukhaka,kaukhaka,kka,kka
kau-khak-kuì,厚殼桂,16,kau-khak-kùi,kau1khak1kui3,kau1khak1kui3,kaukhakkui,kaukhakkui,kkk,kkk
sim-á-hio̍h,參仔葉,16,sim-á-hio̍h,sim1a2hioh8,sim1a2hioh8,simahioh,simahioh,sah,sah
kháu-kha-á,口脚仔,16,kháu-kha-á,khau2kha1a2,khau2kha1a2,khaukhaa,khaukhaa,kka,kka
kóo-gua̍t-kun,古月根,16,kó͘-goa̍t-kun,koo2guat8kun1,koo2goat8kun1,kooguatkun,koogoatkun,kgk,kgk
tông-tī-tsháu,同治草,16,tông-tī-chháu,tong5ti7tshau2,tong5ti7chhau2,tongtitshau,tongtichhau,ttt,ttc
hiòng-thian-tsuánn,向天盞,16,hiòng-thian-chóaⁿ,hiong3thian1tsuann2,hiong3thian1choann2,hiongthiantsuann,hiongthianchoann,htt,htc
hiòng-thian-hông,向天黃,16,hiòng-thian-hông,hiong3thian1hong5,hiong3thian1hong5,hiongthianhong,hiongthianhong,hth,hth
hiòng-ji̍t-kuî,向日葵,16,hiòng-ji̍t-kûi,hiong3jit8kui5,hiong3jit8kui5,hiongjitkui,hiongjitkui,hjk,hjk
kā-lâng-káu,咬人狗,16,kā-lâng-káu,ka7lang5kau2,ka7lang5kau2,kalangkau,kalangkau,klk,klk
kā-lâng-niau,咬人猫,16,kā-lâng-niau,ka7lang5niau1,ka7lang5niau1,kalangniau,kalangniau,kln,kln
hâm-hong-tsháu,咸豐草,16,hâm-hong-chháu,ham5hong1tshau2,ham5hong1chhau2,hamhongtshau,hamhongchhau,hht,hhc
to-nî-á,哆哖仔,16,to-nî-á,to1ni5a2,to1ni5a2,tonia,tonia,tna,tna
lā-lí-á,嘮哩仔,16,lā-lí-á,la7li2a2,la7li2a2,lalia,lalia,lla,lla
sù-kuì-tshun,四季春,16,sù-kùi-chhun,su3kui3tshun1,su3kui3chhun1,sukuitshun,sukuichhun,skt,skc
sù-kuì-kiat,四季橘,16,sù-kùi-kiat,su3kui3kiat1,su3kui3kiat1,sukuikiat,sukuikiat,skk,skk
sù-sî-tshun,四時春,16,sù-sî-chhun,su3si5tshun1,su3si5chhun1,susitshun,susichhun,sst,ssc
sù-bí-tsháu,四米草,16,sù-bí-chháu,su3bi2tshau2,su3bi2chhau2,subitshau,subichhau,sbt,sbc
sì-hio̍h-tshài,四葉菜,16,sì-hio̍h-chhài,si3hioh8tshai3,si3hioh8chhai3,sihiohtshai,sihiohchhai,sht,shc
sì-hio̍h-liân,四葉蓮,16,sì-hio̍h-liân,si3hioh8lian5,si3hioh8lian5,sihiohlian,sihiohlian,shl,shl
înn-á-hue,圓仔花,16,îⁿ-á-hoe,inn5a2hue1,inn5a2hoe1,innahue,innahoe,iah,iah
înn-tshài-thâu,圓菜頭,16,îⁿ-chhài-thâu,inn5tshai3thau5,inn5chhai3thau5,inntshaithau,innchhaithau,itt,ict
thóo-puàn-hā,土半夏,16,thó͘-poàn-hā,thoo2puan3ha7,thoo2poan3ha7,thoopuanha,thoopoanha,tph,tph
thóo-tshuan-nî,土川連,16,thó͘-chhoan-nî,thoo2tshuan1ni5,thoo2chhoan1ni5,thootshuanni,thoochhoanni,ttn,tcn
thóo-tîm-hiunn,土沈香,16,thó͘-tîm-hiuⁿ,thoo2tim5hiunn1,thoo2tim5hiunn1,thootimhiunn,thootimhiunn,tth,tth
thóo-giû-tshit,土牛七,16,thó͘-giû-chhit,thoo2giu5tshit1,thoo2giu5chhit1,thoogiutshit,thoogiuchhit,tgt,tgc
thóo-jio̍k-kuì,土肉桂,16,thó͘-jio̍k-kùi,thoo2jiok8kui3,thoo2jiok8kui3,thoojiokkui,thoojiokkui,tjk,tjk
thóo-ho̍k-lîng,土茯苓,16,thó͘-ho̍k-lêng,thoo2hok8ling5,thoo2hok8leng5,thoohokling,thoohokleng,thl,thl
thôo-tāu-kū,土豆舅,16,thô͘-tāu-kū,thoo5tau7ku7,thoo5tau7ku7,thootauku,thootauku,ttk,ttk
tuē-giâ-kang,地蜈蚣,16,tōe-giâ-kang,tue7gia5kang1,toe7gia5kang1,tuegiakang,toegiakang,tgk,tgk
tē-kut-phî,地骨皮,16,tē-kut-phî,te7kut1phi5,te7kut1phi5,tekutphi,tekutphi,tkp,tkp
poo-lûn-á,埔崙仔,16,po͘-lûn-á,poo1lun5a2,poo1lun5a2,pooluna,pooluna,pla,pla
poo-pit-á,埔筆仔,16,po͘-pit-á,poo1pit1a2,poo1pit1a2,poopita,poopita,ppa,ppa
poo-tsháu-iūnn,埔草樣,16,po͘-chháu-iūⁿ,poo1tshau2iunn7,poo1chhau2iunn7,pootshauiunn,poochhauiunn,pti,pci
poo-iâm-á,埔鹽仔,16,po͘-iâm-á,poo1iam5a2,poo1iam5a2,pooiama,pooiama,pia,pia
hē-koo-tsháu,夏枯草,16,hē-ko͘-chháu,he7koo1tshau2,he7koo1chhau2,hekootshau,hekoochhau,hkt,hkc
hâ-phî-lâm,夏皮楠,16,hâ-phî-lâm,ha5phi5lam5,ha5phi5lam5,haphilam,haphilam,hpl,hpl
tāi-ting-hông,大丁黃,16,tāi-teng-hông,tai7ting1hong5,tai7teng1hong5,taitinghong,taitenghong,tth,tth
tuā-phànn-tshiū,大冇樹,16,tōa-phàⁿ-chhiū,tua7phann3tshiu7,toa7phann3chhiu7,tuaphanntshiu,toaphannchhiu,tpt,tpc
tuā-huê-hûn,大回魂,16,tōa-hôe-hûn,tua7hue5hun5,toa7hoe5hun5,tuahuehun,toahoehun,thh,thh
tuā-gōng-tshiū,大戇樹,16,tōa-gōng-chhiū,tua7gong7tshiu7,toa7gong7chhiu7,tuagongtshiu,toagongchhiu,tgt,tgc
tuā-táu-iū,大斗柚,16,tōa-táu-iū,tua7tau2iu7,toa7tau2iu7,tuatauiu,toatauiu,tti,tti
tuā-phànn-tshiū,大有樹,16,tōa-phàⁿ-chhiū,tua7phann3tshiu7,toa7phann3chhiu7,tuaphanntshiu,toaphannchhiu,tpt,tpc
tuā-tsuí-phiô,大水萍,16,tōa-chúi-phiô,tua7tsui2phio5,toa7chui2phio5,tuatsuiphio,toachuiphio,ttp,tcp
tāi-kah-tsháu,大甲草,16,tāi-kah-chháu,tai7kah1tshau2,tai7kah1chhau2,taikahtshau,taikahchhau,tkt,tkc
tuā-pe̍h-hue,大白花,16,tōa-pe̍h-hoe,tua7peh8hue1,toa7peh8hoe1,tuapehhue,toapehhoe,tph,tph
tuā-âng-sim,大紅心,16,tōa-âng-sim,tua7ang5sim1,toa7ang5sim1,tuaangsim,toaangsim,tas,tas
tuā-âng-hue,大紅花,16,tōa-âng-hoe,tua7ang5hue1,toa7ang5hoe1,tuaanghue,toaanghoe,tah,tah
tuā-huan-hûn,大翻魂,16,tōa-hoan-hûn,tua7huan1hun5,toa7hoan1hun5,tuahuanhun,toahoanhun,thh,thh
tuā-hio̍h-phànn,大葉冇,16,tōa-hio̍h-phàⁿ,tua7hioh8phann3,toa7hioh8phann3,tuahiohphann,toahiohphann,thp,thp
tuā-hio̍h-tōo,大葉杜,16,tōa-hio̍h-tō͘,tua7hioh8too7,toa7hioh8too7,tuahiohtoo,toahiohtoo,tht,tht
tuā-hio̍h-lâm,大葉楠,16,tōa-hio̍h-lâm,tua7hioh8lam5,toa7hioh8lam5,tuahiohlam,toahiohlam,thl,thl
tuā-phû-tô,大葡萄,16,tōa-phû-tô,tua7phu5to5,toa7phu5to5,tuaphuto,toaphuto,tpt,tpt
tuā-thè-hông,大退癀,16,tōa-thè-hông,tua7the3hong5,toa7the3hong5,tuathehong,toathehong,tth,tth
tuā-kim-ing,大金英,16,tōa-kim-eng,tua7kim1ing1,toa7kim1eng1,tuakiming,toakimeng,tki,tke
tuā-thâu-tê,大頭茶,16,tōa-thâu-tê,tua7thau5te5,toa7thau5te5,tuathaute,toathaute,ttt,ttt
tuā-thâu-tshang,大頭葱,16,tōa-thâu-chhang,tua7thau5tshang1,toa7thau5chhang1,tuathautshang,toathauchhang,ttt,ttc
tuā-hong-tsháu,大風草,16,tōa-hong-chháu,tua7hong1tshau2,toa7hong1chhau2,tuahongtshau,toahongchhau,tht,thc
tuā-hong-tîn,大風藤,16,tōa-hong-tîn,tua7hong1tin5,toa7hong1tin5,tuahongtin,toahongtin,tht,tht
tāi-hông-tsháu,大黃草,16,tāi-hông-chháu,tai7hong5tshau2,tai7hong5chhau2,taihongtshau,taihongchhau,tht,thc
thian-lâm-sing,天南星,16,thian-lâm-seng,thian1lam5sing1,thian1lam5seng1,thianlamsing,thianlamseng,tls,tls
thian-bûn-tong,天門冬,16,thian-bûn-tong,thian1bun5tong1,thian1bun5tong1,thianbuntong,thianbuntong,tbt,tbt
kip-tik-thô,夾竹桃,16,kip-tek-thô,kip1tik1tho5,kip1tek1tho5,kiptiktho,kiptektho,ktt,ktt
ko-pô-ōo,姑婆芋,16,ko-pô-ō͘,ko1po5oo7,ko1po5oo7,kopooo,kopooo,kpo,kpo
ui-lîng-sian,威靈仙,16,ui-lêng-sian,ui1ling5sian1,ui1leng5sian1,uilingsian,uilengsian,uls,uls
bēng-tsong-tik,孟宗竹,16,bēng-chong-tek,beng7tsong1tik1,beng7chong1tek1,bengtsongtik,bengchongtek,btt,bct
tīng-king-tsháu,定經草,16,tēng-keng-chháu,ting7king1tshau2,teng7keng1chhau2,tingkingtshau,tengkengchhau,tkt,tkc
gî-hoo-tuan,宜呼端,16,gî-ho͘-toan,gi5hoo1tuan1,gi5hoo1toan1,gihootuan,gihootoan,ght,ght
hu-kuì-tāu,富貴豆,16,hu-kùi-tāu,hu1kui3tau7,hu1kui3tau7,hukuitau,hukuitau,hkt,hkt
sió-lé-hue,小禮花,16,sió-lé-hoe,sio2le2hue1,sio2le2hoe1,siolehue,siolehoe,slh,slh
sió-huan-hûn,小翻魂,16,sió-hoan-hûn,sio2huan1hun5,sio2hoan1hun5,siohuanhun,siohoanhun,shh,shh
sió-kim-ing,小金英,16,sió-kim-eng,sio2kim1ing1,sio2kim1eng1,siokiming,siokimeng,ski,ske
tsiam-bé-hong,尖尾峯,16,chiam-bé-hong,tsiam1be2hong1,chiam1be2hong1,tsiambehong,chiambehong,tbh,cbh
tsiam-bé-hong,尖尾風,16,chiam-bé-hong,tsiam1be2hong1,chiam1be2hong1,tsiambehong,chiambehong,tbh,cbh
bé-ia̍h-hue,尾蝶花,16,bé-ia̍h-hoe,be2iah8hue1,be2iah8hoe1,beiahhue,beiahhoe,bih,bih
suann-siann-tsa,山仙查,16,soaⁿ-siaⁿ-cha,suann1siann1tsa1,soann1siann1cha1,suannsianntsa,soannsianncha,sst,ssc
suann-tshì-kue,山刺瓜,16,soaⁿ-chhì-koe,suann1tshi3kue1,soann1chhi3koe1,suanntshikue,soannchhikoe,stk,sck
suann-sù-ing,山四英,16,soaⁿ-sù-eng,suann1su3ing1,soann1su3eng1,suannsuing,soannsueng,ssi,sse
suann-thôo-tāu,山土豆,16,soaⁿ-thô͘-tāu,suann1thoo5tau7,soann1thoo5tau7,suannthootau,soannthootau,stt,stt
suann-poo-kiunn,山埔姜,16,soaⁿ-po͘-kiuⁿ,suann1poo1kiunn1,soann1poo1kiunn1,suannpookiunn,soannpookiunn,spk,spk
suann-poo-iâm,山埔鹽,16,soaⁿ-po͘-iâm,suann1poo1iam5,soann1poo1iam5,suannpooiam,soannpooiam,spi,spi
suann-pòo-tsí,山布子,16,soaⁿ-pò͘-chí,suann1poo3tsi2,soann1poo3chi2,suannpootsi,soannpoochi,spt,spc
suann-tang-iū,山東柚,16,soaⁿ-tang-iū,suann1tang1iu7,soann1tang1iu7,suanntangiu,soanntangiu,sti,sti
suann-gî-pê,山枇杷,16,soaⁿ-gî-pê,suann1gi5pe5,soann1gi5pe5,suanngipe,soanngipe,sgp,sgp
suann-nâ-tâu,山林投,16,soaⁿ-nâ-tâu,suann1na5tau5,soann1na5tau5,suannnatau,soannnatau,snt,snt
suann-kam-á,山柑仔,16,soaⁿ-kam-á,suann1kam1a2,soann1kam1a2,suannkama,soannkama,ska,ska
suann-iū-á,山柚仔,16,soaⁿ-iū-á,suann1iu7a2,soann1iu7a2,suanniua,soanniua,sia,sia
suann-kun-lîng,山根龍,16,soaⁿ-kun-lêng,suann1kun1ling5,soann1kun1leng5,suannkunling,soannkunleng,skl,skl
suann-kuì-hue,山桂花,16,soaⁿ-kùi-hoe,suann1kui3hue1,soann1kui3hoe1,suannkuihue,soannkuihoe,skh,skh
suann-suāinn-á,山檨仔,16,soaⁿ-soāiⁿ-á,suann1suainn7a2,soann1soainn7a2,suannsuainna,soannsoainna,ssa,ssa
suann-pin-nn̂g,山檳榔,16,soaⁿ-pin-nn̂g,suann1pin1nng5,soann1pin1nng5,suannpinnng,soannpinnng,spn,spn
suann-eng-thô,山櫻桃,16,soaⁿ-eng-thô,suann1eng1tho5,soann1eng1tho5,suannengtho,soannengtho,set,set
suann-tsuí-liú,山水柳,16,soaⁿ-chúi-liú,suann1tsui2liu2,soann1chui2liu2,suanntsuiliu,soannchuiliu,stl,scl
suann-ti̍k-lân,山澤蘭,16,soaⁿ-te̍k-lân,suann1tik8lan5,soann1tek8lan5,suanntiklan,soannteklan,stl,stl
suann-hun-tsháu,山煙草,16,soaⁿ-hun-chháu,suann1hun1tshau2,soann1hun1chhau2,suannhuntshau,soannhunchhau,sht,shc
suann-gû-lin,山牛乳,16,soaⁿ-gû-lin,suann1gu5lin1,soann1gu5lin1,suanngulin,soanngulin,sgl,sgl
suann-ti-kê,山猪枷,16,soaⁿ-ti-kê,suann1ti1ke5,soann1ti1ke5,suanntike,soanntike,stk,stk
suann-ti-bah,山猪肉,16,soaⁿ-ti-bah,suann1ti1bah1,soann1ti1bah1,suanntibah,soanntibah,stb,stb
suann-ti-kuann,山猪肝,16,soaⁿ-ti-koaⁿ,suann1ti1kuann1,soann1ti1koann1,suanntikuann,soanntikoann,stk,stk
suann-kue-tshài,山瓜菜,16,soaⁿ-koe-chhài,suann1kue1tshai3,soann1koe1chhai3,suannkuetshai,soannkoechhai,skt,skc
suann-pe̍h-tshài,山白菜,16,soaⁿ-pe̍h-chhài,suann1peh8tshai3,soann1peh8chhai3,suannpehtshai,soannpehchhai,spt,spc
suann-bé-tsî,山碼薯,16,soaⁿ-bé-chî,suann1be2tsi5,soann1be2chi5,suannbetsi,soannbechi,sbt,sbc
suann-âng-be̍h,山紅麥,16,soaⁿ-âng-be̍h,suann1ang5beh8,soann1ang5beh8,suannangbeh,soannangbeh,sab,sab
suann-sòo-ing,山素英,16,soaⁿ-sò͘-eng,suann1soo3ing1,soann1soo3eng1,suannsooing,soannsooeng,ssi,sse
suann-tsí-soo,山紫蘇,16,soaⁿ-chí-so͘,suann1tsi2soo1,soann1chi2soo1,suanntsisoo,soannchisoo,sts,scs
suann-iûnn-sái,山羊屎,16,soaⁿ-iûⁿ-sái,suann1iunn5sai2,soann1iunn5sai2,suanniunnsai,soanniunnsai,sis,sis
suann-iûnn-hī,山羊耳,16,soaⁿ-iûⁿ-hī,suann1iunn5hi7,soann1iunn5hi7,suanniunnhi,soanniunnhi,sih,sih
suann-jio̍k-kuì,山肉桂,16,soaⁿ-jio̍k-kùi,suann1jiok8kui3,soann1jiok8kui3,suannjiokkui,soannjiokkui,sjk,sjk
suann-bah-tāu,山肉豆,16,soaⁿ-bah-tāu,suann1bah1tau7,soann1bah1tau7,suannbahtau,soannbahtau,sbt,sbt
suann-ho-tsio,山胡椒,16,soaⁿ-ho-chio,suann1ho1tsio1,soann1ho1chio1,suannhotsio,soannhochio,sht,shc
suann-tshàu-tsiunn,山臭樟,16,soaⁿ-chhàu-chiuⁿ,suann1tshau3tsiunn1,soann1chhau3chiunn1,suanntshautsiunn,soannchhauchiunn,stt,scc
suann-king-tsio,山芎蕉,16,soaⁿ-keng-chio,suann1king1tsio1,soann1keng1chio1,suannkingtsio,soannkengchio,skt,skc
suann-phû-iông,山芙蓉,16,soaⁿ-phû-iông,suann1phu5iong5,soann1phu5iong5,suannphuiong,soannphuiong,spi,spi
suann-kuà-tshài,山芥菜,16,soaⁿ-kòa-chhài,suann1kua3tshai3,soann1koa3chhai3,suannkuatshai,soannkoachhai,skt,skc
suann-khóo-līng,山苦楝,16,soaⁿ-khó͘-lēng,suann1khoo2ling7,soann1khoo2leng7,suannkhooling,soannkhooleng,skl,skl
suann-khóo-kue,山苦瓜,16,soaⁿ-khó͘-koe,suann1khoo2kue1,soann1khoo2koe1,suannkhookue,soannkhookoe,skk,skk
suann-tê-á,山茶仔,16,soaⁿ-tê-á,suann1te5a2,soann1te5a2,suanntea,soanntea,sta,sta
suann-hīng-tshài,山莕菜,16,soaⁿ-hēng-chhài,suann1hing7tshai3,soann1heng7chhai3,suannhingtshai,soannhengchhai,sht,shc
suann-kuann-lân,山菅蘭,16,soaⁿ-koaⁿ-lân,suann1kuann1lan5,soann1koann1lan5,suannkuannlan,soannkoannlan,skl,skl
suann-tshài-tāu,山菜豆,16,soaⁿ-chhài-tāu,suann1tshai3tau7,soann1chhai3tau7,suanntshaitau,soannchhaitau,stt,sct
suann-pe-lîng,山菠薐,16,soaⁿ-pe-lêng,suann1pe1ling5,soann1pe1leng5,suannpeling,soannpeleng,spl,spl
suann-kuah-tshài,山葛菜,16,soaⁿ-koah-chhài,suann1kuah1tshai3,soann1koah1chhai3,suannkuahtshai,soannkoahchhai,skt,skc
suann-phû-tô,山葡萄,16,soaⁿ-phû-tô,suann1phu5to5,soann1phu5to5,suannphuto,soannphuto,spt,spt
suann-suàn-thâu,山蒜頭,16,soaⁿ-soàn-thâu,suann1suan3thau5,soann1soan3thau5,suannsuanthau,soannsoanthau,sst,sst
suann-neh-kiau,山蕨猫,16,soaⁿ-neh-kiau,suann1neh1kiau1,soann1neh1kiau1,suannnehkiau,soannnehkiau,snk,snk
suann-io̍k-tsû,山藥薯,16,soaⁿ-io̍k-chû,suann1iok8tsu5,soann1iok8chu5,suannioktsu,soanniokchu,sit,sic
suann-ti-bah,山豬肉,16,soaⁿ-ti-bah,suann1ti1bah1,soann1ti1bah1,suanntibah,soanntibah,stb,stb
suann-tsha̍t-á,山賊仔,16,soaⁿ-chha̍t-á,suann1tshat8a2,soann1chhat8a2,suanntshata,soannchhata,sta,sca
suann-hiunn-înn,山香圓,16,soaⁿ-hiuⁿ-îⁿ,suann1hiunn1inn5,soann1hiunn1inn5,suannhiunninn,soannhiunninn,shi,shi
suann-bé-tê,山馬茶,16,soaⁿ-bé-tê,suann1be2te5,soann1be2te5,suannbete,soannbete,sbt,sbt
suann-bé-tê,山馬蹄,16,soaⁿ-bé-tê,suann1be2te5,soann1be2te5,suannbete,soannbete,sbt,sbt
suann-tsiáu-tsiunn,山鳥樟,16,soaⁿ-chiáu-chiuⁿ,suann1tsiau2tsiunn1,soann1chiau2chiunn1,suanntsiautsiunn,soannchiauchiunn,stt,scc
suann-iâm-tshinn,山鹽菁,16,soaⁿ-iâm-chhiⁿ,suann1iam5tshinn1,soann1iam5chhinn1,suanniamtshinn,soanniamchhinn,sit,sic
suann-iâm-sng,山鹽酸,16,soaⁿ-iâm-sng,suann1iam5sng1,soann1iam5sng1,suanniamsng,soanniamsng,sis,sis
suann-n̂g-ki,山黃枝,16,soaⁿ-n̂g-ki,suann1ng5ki1,soann1ng5ki1,suannngki,soannngki,snk,snk
suann-n̂g-kinn,山黃梔,16,soaⁿ-n̂g-kiⁿ,suann1ng5kinn1,soann1ng5kinn1,suannngkinn,soannngkinn,snk,snk
suann-iûnn-muâ,山黃麻,16,soaⁿ-iûⁿ-môa,suann1iunn5mua5,soann1iunn5moa5,suanniunnmua,soanniunnmoa,sim,sim
suann-gîng-gíng,山龍眼,16,soaⁿ-gêng-géng,suann1ging5ging2,soann1geng5geng2,suanngingging,soanngenggeng,sgg,sgg
pòo-pòo-oo,布布烏,16,pò͘-pò͘-o͘,poo3poo3oo1,poo3poo3oo1,poopoooo,poopoooo,ppo,ppo
pòo-kut-siau,布骨梢,16,pò͘-kut-siau,poo3kut1siau1,poo3kut1siau1,pookutsiau,pookutsiau,pks,pks
sai-kong-giang,師公銒,16,sai-kong-giang,sai1kong1giang1,sai1kong1giang1,saikonggiang,saikonggiang,skg,skg
siông-san-nî,常山尼,16,siông-san-nî,siong5san1ni5,siong5san1ni5,siongsanni,siongsanni,ssn,ssn
siông-san-tshiū,常山樹,16,siông-san-chhiū,siong5san1tshiu7,siong5san1chhiu7,siongsantshiu,siongsanchhiu,sst,ssc
bō-á-tún,帽仔盾,16,bō-á-tún,bo7a2tun2,bo7a2tun2,boatun,boatun,bat,bat
liân-siau-kam,年宵柑,16,liân-siau-kam,lian5siau1kam1,lian5siau1kam1,liansiaukam,liansiaukam,lsk,lsk
kóng-hio̍h-sam,廣葉杉,16,kóng-hio̍h-sam,kong2hioh8sam1,kong2hioh8sam1,konghiohsam,konghiohsam,khs,khs
sim-kong-tsháu,心廣草,16,sim-kong-chháu,sim1kong1tshau2,sim1kong1chhau2,simkongtshau,simkongchhau,skt,skc
jím-tang-tîn,忍冬藤,16,jím-tang-tîn,jim2tang1tin5,jim2tang1tin5,jimtangtin,jimtangtin,jtt,jtt
